Cognitive Distortion,N-Grams
Arbitrary Inference - Fortune Telling,I will not
Arbitrary Inference - Fortune Telling,we will not
Arbitrary Inference - Fortune Telling,you will not
Arbitrary Inference - Fortune Telling,they will not
Arbitrary Inference - Fortune Telling,it will not
Arbitrary Inference - Fortune Telling,that will not
Arbitrary Inference - Fortune Telling,he will not
Arbitrary Inference - Fortune Telling,she will not
Arbitrary Inference - Mind Reading,everyone believes
Arbitrary Inference - Mind Reading,everyone knows
Arbitrary Inference - Mind Reading,everyone thinks
Arbitrary Inference - Mind Reading,everyone will believe
Arbitrary Inference - Mind Reading,everyone will know
Arbitrary Inference - Mind Reading,everyone will think
Arbitrary Inference - Mind Reading,nobody believes
Arbitrary Inference - Mind Reading,nobody knows
Arbitrary Inference - Mind Reading,nobody thinks
Arbitrary Inference - Mind Reading,nobody will believe
Arbitrary Inference - Mind Reading,nobody will know
Arbitrary Inference - Mind Reading,nobody will think
Arbitrary Inference - Mind Reading,he believes
Arbitrary Inference - Mind Reading,he knows
Arbitrary Inference - Mind Reading,he thinks
Arbitrary Inference - Mind Reading,he does not believe
Arbitrary Inference - Mind Reading,he does not know
Arbitrary Inference - Mind Reading,he does not think
Arbitrary Inference - Mind Reading,he will believe
Arbitrary Inference - Mind Reading,he will know
Arbitrary Inference - Mind Reading,he will think
Arbitrary Inference - Mind Reading,he will not believe
Arbitrary Inference - Mind Reading,he will not know
Arbitrary Inference - Mind Reading,he will not think
Arbitrary Inference - Mind Reading,she believes
Arbitrary Inference - Mind Reading,she knows
Arbitrary Inference - Mind Reading,she thinks
Arbitrary Inference - Mind Reading,she does not believe
Arbitrary Inference - Mind Reading,she does not know
Arbitrary Inference - Mind Reading,she does not think
Arbitrary Inference - Mind Reading,she will believe
Arbitrary Inference - Mind Reading,she will know
Arbitrary Inference - Mind Reading,she will think
Arbitrary Inference - Mind Reading,she will not believe
Arbitrary Inference - Mind Reading,she will not know
Arbitrary Inference - Mind Reading,she will not think
Arbitrary Inference - Mind Reading,they believe
Arbitrary Inference - Mind Reading,they know
Arbitrary Inference - Mind Reading,they think
Arbitrary Inference - Mind Reading,they do not believe
Arbitrary Inference - Mind Reading,they do not know
Arbitrary Inference - Mind Reading,they do not think
Arbitrary Inference - Mind Reading,they will believe
Arbitrary Inference - Mind Reading,they will know
Arbitrary Inference - Mind Reading,they will think
Arbitrary Inference - Mind Reading,they will not believe
Arbitrary Inference - Mind Reading,they will not know
Arbitrary Inference - Mind Reading,they will not think
Arbitrary Inference - Mind Reading,we believe
Arbitrary Inference - Mind Reading,we know
Arbitrary Inference - Mind Reading,we think
Arbitrary Inference - Mind Reading,we do not believe
Arbitrary Inference - Mind Reading,we do not know
Arbitrary Inference - Mind Reading,we do not think
Arbitrary Inference - Mind Reading,we will believe
Arbitrary Inference - Mind Reading,we will know
Arbitrary Inference - Mind Reading,w will think
Arbitrary Inference - Mind Reading,we will not believe
Arbitrary Inference - Mind Reading,we will not know
Arbitrary Inference - Mind Reading,we will not think
Arbitrary Inference - Mind Reading,you believe
Arbitrary Inference - Mind Reading,you know
Arbitrary Inference - Mind Reading,you think
Arbitrary Inference - Mind Reading,you do not believe
Arbitrary Inference - Mind Reading,you do not know
Arbitrary Inference - Mind Reading,you do not think
Arbitrary Inference - Mind Reading,you will believe
Arbitrary Inference - Mind Reading,you will know
Arbitrary Inference - Mind Reading,you will think
Arbitrary Inference - Mind Reading,you will not believe
Arbitrary Inference - Mind Reading,you will not know
Arbitrary Inference - Mind Reading,you will not think
Blame Self,all me
Blame Self,all my
Blame Self,because I
Blame Self,because my
Blame Self,because of my
Blame Self,because of me
Blame Self,I am responsible
Blame Self,blame me
Blame Self,I caused
Blame Self,I feel responsible
Blame Self,all my doing
Blame Self,all my fault
Blame Self,my bad
Blame Self,my responsibility
Blame Others,all him
Blame Others,all her
Blame Others,all of them
Blame Others,because he
Blame Others,because she
Blame Others,because they
Blame Others,because of his
Blame Others,because of her
Blame Others,because of their
Blame Others,because of them
Blame Others,he is responsible
Blame Others,she is responsible
Blame Others,they are responsible
Blame Others,blame him
Blame Others,blame her
