sentence,label,wc,sscore,nega,prosing,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
sore headache fever,No,3,-1.327905619,100,0,93.26,50,1,25.77,3,33.33,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
he has a mostly dry cough but tries hard to expel phlegm,No,12,-1.169365235,33.33333333,0,62.04,50,1,25.77,12,0,91.67,50,8.33,8.33,0,0,0,8.33,0,0,8.33,8.33,8.33,8.33,8.33,0,25,16.67,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,8.33,16.67,0,0,0,8.33,0,8.33,16.67,0,0,16.67,8.33,0,8.33,0,0,8.33,0,8.33,0,0,0,0,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and many other people who also have terrible mental illness from too much isolation,No,14,-1.069044968,28.57142857,0,5.89,76.25,1.06,1,14,21.43,100,50,14.29,0,0,0,0,0,0,14.29,0,7.14,7.14,14.29,14.29,0,7.14,14.29,0,7.14,0,14.29,14.29,0,14.29,0,0,7.14,14.29,0,0,0,0,7.14,0,0,0,0,0,7.14,0,0,0,0,7.14,0,7.14,0,0,0,0,0,0,0,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
she had the cough get much worse and i had severe body aches,No,13,-1.023421862,23.07692308,7.692307692,24.14,50,1,1,13,0,100,46.15,15.38,15.38,7.69,0,0,7.69,0,0,7.69,0,15.38,0,7.69,0,23.08,7.69,7.69,0,0,7.69,23.08,0,23.08,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,7.69,0,0,7.69,23.08,7.69,15.38,0,0,15.38,0,0,0,7.69,7.69,15.38,15.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
it also has not helped that my sister has really bad ocd and has not handled this the best she is particularly worried about contamination,No,25,-0.98,12,4,1,5.5,6.7,1,25,16,92,68,20,8,4,0,0,4,0,12,4,4,16,16,8,8,20,8,4,0,0,0,12,4,8,4,0,0,8,4,0,8,0,16,0,0,0,0,4,12,0,0,0,0,4,0,4,0,0,12,4,4,4,4,4,4,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
do i complain about my situation too much?,No,8,-0.972271824,25,25,1.92,10.58,74.76,1,8,25,87.5,62.5,25,25,25,0,0,0,0,0,0,12.5,12.5,25,0,0,12.5,0,0,0,0,12.5,12.5,0,12.5,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,0,0,0,0,12.5,0,0,0,0,0,0
i miss theme parks i miss concerts i miss broadway shows i miss the idea of simply groups of people being together without being scared that theyre going to get sick,No,31,-0.942927836,19.35483871,12.90322581,63.48,25.93,78.86,1,31,12.9,93.55,45.16,16.13,12.9,12.9,0,0,0,0,3.23,3.23,12.9,9.68,3.23,0,3.23,29.03,6.45,0,0,0,3.23,19.35,0,19.35,3.23,0,12.9,12.9,0,0,0,0,6.45,3.23,0,0,0,0,3.23,6.45,3.23,3.23,0,3.23,0,3.23,0,0,9.68,6.45,0,0,3.23,0,0,19.35,3.23,6.45,3.23,3.23,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23 years old and too much of an introvert which i regret now,No,12,-0.79385662,16.66666667,8.333333333,43.96,22.08,63.54,1,13,7.69,84.62,53.85,15.38,7.69,7.69,0,0,0,0,7.69,7.69,7.69,0,15.38,7.69,0,0,0,0,7.69,7.69,7.69,7.69,0,7.69,0,0,7.69,0,0,0,0,0,7.69,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69,0,23.08,0,0,23.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minor symptoms that basically could have gone unnoticed headache and run down for a day,No,15,-0.89078617,33.33333333,0,70.69,50,43.37,25.77,15,26.67,93.33,53.33,6.67,0,0,0,0,0,0,6.67,6.67,13.33,13.33,6.67,6.67,0,26.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,0,0,6.67,0,0,0,0,0,0,0,13.33,0,13.33,0,0,13.33,0,0,13.33,0,0,6.67,13.33,0,26.67,13.33,6.67,6.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
i never post on these forums but i was very disappointed in the lack of resources online regarding recovery time and treating symptoms yourself,No,24,-0.877733824,12.5,8.333333333,50.33,20.24,91.31,1,24,29.17,87.5,58.33,16.67,12.5,8.33,0,4.17,0,0,4.17,4.17,16.67,4.17,8.33,8.33,4.17,8.33,0,0,0,0,0,4.17,0,4.17,0,0,4.17,4.17,0,0,0,0,12.5,0,0,4.17,0,4.17,4.17,0,0,0,0,4.17,0,4.17,0,0,8.33,0,4.17,0,0,4.17,4.17,4.17,0,20.83,0,8.33,8.33,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
